[2025-07-24T15:22:54.890+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tune_stream_dag.Stage_events scheduled__2023-01-05T09:00:00+00:00 [queued]>
[2025-07-24T15:22:54.897+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tune_stream_dag.Stage_events scheduled__2023-01-05T09:00:00+00:00 [queued]>
[2025-07-24T15:22:54.898+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 4
[2025-07-24T15:22:55.865+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): Stage_events> on 2023-01-05 09:00:00+00:00
[2025-07-24T15:22:55.995+0000] {standard_task_runner.py:60} INFO - Started process 870 to run task
[2025-07-24T15:22:55.999+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'tune_stream_dag', 'Stage_events', 'scheduled__2023-01-05T09:00:00+00:00', '--job-id', '890', '--raw', '--subdir', 'DAGS_FOLDER/etl_pipeline.py', '--cfg-path', '/tmp/tmp8xeydf4j']
[2025-07-24T15:22:56.002+0000] {standard_task_runner.py:88} INFO - Job 890: Subtask Stage_events
[2025-07-24T15:23:06.574+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.575+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.577+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.580+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.581+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.582+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.583+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.585+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.585+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.586+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.588+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.590+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.591+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.592+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.592+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.593+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.593+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.594+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.594+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.595+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.595+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.595+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.596+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.596+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.596+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.597+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.597+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.597+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.597+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.597+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.598+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.598+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.598+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.598+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.599+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.599+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.599+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.599+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.599+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.600+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.600+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.600+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.600+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.601+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.601+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.601+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.601+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.602+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.602+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.602+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.603+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.603+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.603+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.603+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.604+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.604+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.604+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.604+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.604+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.605+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.605+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.605+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.605+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.605+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.606+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.606+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.606+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.606+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.607+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.607+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.607+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.607+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.607+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.608+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.608+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.608+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.608+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.608+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.609+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.609+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.609+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.609+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.610+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.610+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.610+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.610+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.611+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
